
"31505","ALLSCRIPTS INDIA LLP","A","","","NA"
"31506","ALLSCRIPTS INDIA PRIVATE LIM","A","","","NA"
"31507","ALM FOOD PRODUCTS LIMITED","A","","","NA"
"31508","ALMONDZ GLOBAL SECURITIES LIMI","A","","","NA"
"31509","ALOK MASTER BATCHES PRIVATE LI","A","","","NA"
"31510","ALP NISHIKAWA COMPANY PRIVATE","A","","","NA"
"31511","ALP OVERSEAS PRIVATE LIMITED","A","","","NA"
"31512","ALPEX EXPORTS PVT LTD","A","","","NA"
"31513","ALPHA CORP DEVELOPMENT PRIVATE","A","","","NA"
"31514","ALPHA DESIGN TECHNOLOGIES PRIV","A","","","NA"
"31515","ALPHA FOAM LIMITED","A","","","NA"
"31516","ALPHA MAIER PRIVATE LIMITED","A","","","NA"
"31517","ALPLA INDIA PRIVATE LIMITED","A","","","NA"
"31518","ALSTHOM INDUSTRIES LIMITED","A","","","NA"
"31519","ALSTOM TRANSPORT INDIA LIMITED","A","","","NA"
"31520","ALTEN CALSOFT LABS INDIA PRI","A","","","NA"
"31521","ALTERNATIVE LEARNING SYSTEMS L","A","","","NA"
"31522","ALTHEON ENTERPRISES LIMITED","A","","","NA"
"31523","ALTICO CAPITAL INDIA PRIVATE L","A","","","NA"
"31524","ALTISOURCE BUSINESS SOLUTIONS","A","","","NA"
"31525","ALUCAST ENGINEERING PVT LTD","A","","","NA"
"31526","ALUDECOR LAMINATION PVT LTD","A","","","NA"
"31527","ALUFIT INDIA PRIVATE LIMITED","A","","","NA"
"31528","ALUKKAS ENTERPRISES PRIVATE LI","A","","","NA"
"31529","ALUKKAS GOLD RETAIL INDIA PRIV","A","","","NA"
"31530","AMADEUS INDIA PRIVATE LIMITED","A","","","NA"
"31531","AMADEUS SOFTWARE LABS INDIA PR","A","","","NA"
"31532","AMAGI MEDIA LABS PRIVATE LIMIT","A","","","NA"
"31533","AMALGAMATED HOLDINGS LIMITED","A","","","NA"
"31534","AMALGAMATED PLANTATIONS PRIVAT","A","","","NA"
"31535","AMALGAMATIONS VALEO CLUTCH PRI","A","","","NA"
"31536","AMANORA FUTURE TOWERS PRIVATE","A","","","NA"
"31537","AMAR CARS PRIVATE LIMITED","A","","","NA"
"31538","AMAR TEA PRIVATE LIMITED","A","","","NA"
"31539","AMAR UJALA PUBLICATION LTD","A","","","NA"
"31540","AMARA RAJA BATTERIES LIMITED","B","","","LIFE TIME FREE"
"31541","AMARA RAJA INFRA PVT LTD","A","","","NA"
"31542","AMARAVATHI TEXTILES PVT LTD","A","","","NA"
"31543","AMARJOTHI SPINNING MILLS LIMIT","A","","","NA"
"31544","AMAZON DATA SERVICES INDIA PRI","A","","","NA"
"31545","AMAZON DEVELOPMENT CENTRE IND","A","","","NA"
"31546","AMAZON INTERNET SERVICES PRIVA","A","","","NA"
"31547","AMAZON WOOD PRIVATE LIMITED","A","","","NA"
"31548","AMBASHAKTI UDYOG LIMITED","A","","","NA"
"31549","AMBATTUR CLOTHING PVT LTD","A","","","NA"
"31550","AMBAY FOREX PRIVATE LIMITED","A","","","NA"
"31551","AMBER ENTERPRISES INDIA LIMITE","SUPER A","","","LIFE TIME FREE"
"31552","AMBER ENTERPRISES INDIA PRIVAT","A","","","NA"
"31553","AMBEY LABORATORIES LIMITED AM","A","","","NA"
"31554","AMBICA STEELS LIMITED","A","","","NA"
"31555","AMBIENCE INTERIORS PRIVATE LIM","A","","","NA"
"31556","AMBIENCE PRIVATE LIMITED","A","","","NA"
"31557","AMBIT CAPITAL PRIVATE LIMITED","A","","","NA"
"31558","AMBIT FINVEST PRIVATE LIMITED","A","","","NA"
"31559","AMBIT PRIVATE LIMITED","A","","","NA"
"31560","AMBOSELI PROFESSIONAL ASSOCIAT","A","","","NA"
"31561","AMBUJA CEMENT FOUNDATION","A","","","NA"
"31562","AMBUJA INTERMEDIATES PRIVATE L","A","","","NA"
"31563","AMD INDIA PRIVATE LIMITED","A","","","NA"
"31564","AMDIPHARM MERCURY SERVICES PVT","A","","","NA"
"31565","AMDOCS DEVELOPMENT CENTRE INDI","SUPER A","","","LIFE TIME FREE"
"31566","AMERICAN EXPRESS BUSINESS SOLU","A","","","NA"
"31567","AMERICAN EXPRESSINDIA PRIVAT","A","","","NA"
"31568","AMERICAN POWER CONVERSION CORP","A","","","NA"
"31569","AMERIPRISE INDIA PRIVATE LIMIT","A","","","NA"
"31570","AMETEK INSTRUMENTS INDIA PRIVA","A","","","NA"
"31571","AMEX TECHPRO PRIVATE LIMITED","A","","","NA"
"31572","AMEYA LOGISTICS PRIVATE LIMITE","A","","","NA"
"31573","AMGOORIE INDIA LIMITED","A","","","NA"
"31574","AMI LIFESCIENCES PVT LTD","A","","","NA"
"31575","AMI ORGANICS PRIVATE LIMITED","A","","","NA"
"31576","AMINES AND PLASTICIZERS LIMITE","A","","","NA"
"31577","AMINS PATHOLOGY LABORATORY PRI","A","","","NA"
"31578","AMIR CHAND JAGDISH KUMAR EXPO","A","","","NA"
"31579","AMISHA VINYLS PRIVATE LIMITED","A","","","NA"
"31580","AMITASHA ENTERPRISES PRIVATE L","A","","","NA"
"31581","AMMANARUL SPINNERS PRIVATE LIM","A","","","NA"
"31582","AMMANN INDIA PRIVATE LIMITED","A","","","NA"
"31583","AMOL DICALITE LIMITED","A","","","NA"
"31584","AMOLI ORGANICS PRIVATE LIMITED","A","","","NA"
"31585","AMORA TILES PRIVATE LIMITED","A","","","NA"
"31586","AMP E  SERVICES PRIVATE LIMIT","A","","","NA"
"31587","AMP MOTORS PRIVATE LIMITED","A","","","NA"
"31588","AMPA HOUSING DEVELOPMENT PRIVA","A","","","NA"
"31589","AMPHENOL INTERCONNECT INDIA PR","A","","","NA"
